Hillclimbing step = 1	Hillclimbing step = 0.5	Steepest Ascent HillClimbing step = 1	Steepest Ascent HillClimbing step = 0.5	Random Restart HillClimbing step = 1	Random Restart HillClimbing step = 0.5	SimulatedAnnealing alpha = 0.993 using t1	SimulatedAnnealing alpha = 0.993 using t2	SimulatedAnnealing alpha = 0.987 using t1	SimulatedAnnealing alpha = 0.987 using t2
-30.128985300505473	-29.29734400724584	-30.854964699232106	-29.82855777291953	-31.643888754274236	-29.88472269030877	-29.620692880873264	-31.111896147662645	-28.79933965464685	-29.738001972120344
-31.769964075223704	-30.175899664501042	-34.1578476010373	-31.501944332539136	-34.930853536907726	-31.55868642530381	-30.81259142745739	-33.342957015750166	-29.28449075935695	-31.357069484770648
-33.222199697141214	-31.009448365503488	-37.365795098069825	-33.15546391069647	-38.118373957374956	-33.21269552650402	-31.778318664353993	-34.766117109903554	-29.4013786788328	-32.075002602293594
-34.476889558026585	-31.79671312753576	-40.46029486583945	-34.78669805102322	-41.18811531435982	-34.84433177424826	-32.41594004645553	-36.1113684442331	-30.75876655981359	-33.106881282230646
-35.526651852432096	-32.5364918649801	-43.423696978445875	-36.39327632220342	-44.12262218986628	-36.45122509649244	-32.878697440196675	-36.876757794173066	-31.30673276089974	-33.31433445466579
-36.365694553685955	-33.22766241324143	-46.23927680522373	-37.97287869137319	-46.90537941336255	-38.031055937716204	-33.21969716205662	-37.33721315727015	-31.578281320288845	-34.08199304490035
-36.98998853661168	-33.86918763964343	-48.89128986011151	-39.52323776374596	-49.52086504460516	-39.58155749408168	-33.21969716205662	-37.745364489450516	-31.578281320288845	-35.564590551473415
-37.39744386924615	-34.46012063622537	-51.36501890724908	-41.04214089059681	-51.95459568185591	-41.1005178169825	-33.34317318171145	-38.06870136677004	-32.56866531333979	-36.32483894682701
-37.58808810769509	-34.99960998882919	-53.64681363676766	-42.52743214780879	-54.19316441198379	-42.58578178719052	-33.34317318171145	-38.48699467162265	-33.24638822995648	-37.09222181314998
-39.664935945368825	-35.48690511629217	-55.72412323260369	-43.97701418724548	-56.224271726202765	-44.0352529618684	-33.34317318171145	-39.109568373517696	-33.61546266713681	-38.28069057965813
-43.00272710320066	-35.92136167294837	-57.585522159721734	-45.388849963270495	-58.03674973020863	-45.4468952967726	-33.34317318171145	-39.109568373517696	-34.235043903880936	-39.17429699260708
-46.18250101626607	-36.30244700698802	-59.22072950162499	-46.76096433678323	-59.62057998048739	-46.81873474601987	-33.34317318171145	-39.109568373517696	-34.926008865906645	-39.20321353902742
-49.185724174557436	-36.629745666526695	-60.62062218069091	-48.091445559185345	-60.96690527979665	-48.14886074183424	-33.34317318171145	-39.109568373517696	-35.73486589628692	-39.20321353902742
-51.99519441320736	-36.902964944490705	-61.77724239390015	-49.3784466387295	-62.07159220507579	-49.43542755673008	-33.56153970524694	-39.24481146902888	-35.84216985945913	-39.20321353902742
-54.59507168671602	-37.121940452628806	-62.75205744505248	-50.62018659173707	-63.024886718984625	-50.67665555061943	-33.62872538537768	-39.53327577572054	-35.89200865884669	-39.20500755870869
-56.97090064052802	-37.286641714110026	-63.64429009977796	-51.81495158119848	-63.88898762849008	-51.87083230536081	-33.942361356958315	-39.53327577572054	-35.89200865884669	-39.20500755870869
-58.6585766832221	-37.397177763257126	-64.44190326725969	-52.96109594529531	-64.65176401772268	-53.01631364929045	-33.942361356958315	-39.62062333403729	-36.058464741212454	-39.2990371672836
-60.59973607328063	-37.45380273999162	-65.1327064883499	-54.05704311840251	-65.3061243200701	-54.111524574296276	-33.942361356958315	-39.87492194967579	-36.651333842886416	-39.2990371672836
-62.11503648720471	-38.50903176999144	-65.70443859015019	-55.101286447144865	-65.84691258148929	-55.154960048010935	-34.50712469937207	-39.87983356911885	-36.651333842886416	-39.2990371672836
-63.29107247640089	-40.04861400857429	-66.1512448519373	-56.09238990409425	-66.26919011180088	-56.145185723712	-34.873582876009344	-40.12410028467076	-36.76676516841215	-39.2990371672836
-64.42696992189133	-41.7284659826082	-66.49290239709123	-57.02898870170212	-66.57859479019255	-57.0808385505253	-34.873582876009344	-40.1624122956625	-36.76676516841215	-39.721251382061915
-65.34947455297821	-43.37067425980379	-66.72699291056486	-57.90978980906723	-66.76042816998515	-57.9606272865327	-34.873582876009344	-40.1624122956625	-36.76676516841215	-40.30727696623152
-66.00032913233494	-44.97282014759285	-66.8189551548783	-58.733572374139804	-66.81914224985788	-58.78333291738702	-34.873582876009344	-40.1624122956625	-36.76676516841215	-40.810039428830116
-66.5042976039874	-46.53256594375393	-66.82256782816677	-59.49918805396294	-66.82027630896793	-59.5478089830353	-34.873582876009344	-40.1624122956625	-36.76676516841215	-40.810039428830116
-66.77097880027216	-48.04765620840185	-66.8201224674521	-60.20556125554718	-34.75388771618262	-60.25298181514821	-34.873582876009344	-40.1624122956625	-36.76676516841215	-41.08747367038386
-66.81389684577901	-49.51591889602454	0.0	-60.85168928996825	-34.06278878752795	-60.897850687845484	-34.873582876009344	-40.1624122956625	-36.9987693214952	-41.774954574813925
-66.82658522433238	-50.93526635201327	0.0	-61.436642442268315	-37.27108359533689	-61.481487884298886	-34.873582876009344	-40.176989525876934	-36.9987693214952	-41.84058047080876
-66.82730564109717	-52.303696178039424	0.0	-61.96517637754622	-40.366498926225184	-62.00684638138239	-34.873582876009344	-40.231858407922815	-36.9987693214952	-42.43295332790734
0.0	-53.61929197054151	0.0	-62.45549789953981	-43.331369947067365	-62.49596453560345	-34.873582876009344	-40.231858407922815	-37.00550368453931	-42.43295332790734
0.0	-54.88022393649935	0.0	-62.92324050544189	-46.14895461761749	-62.963960828311144	-34.873582876009344	-40.231858407922815	-37.096762122435976	-42.43295332790734
0.0	-56.08474939058918	0.0	-63.3703058517252	-48.8034887785209	-63.41084324153703	-34.873582876009344	-40.231858407922815	-37.397319735408225	-42.74015958049509
0.0	-57.122682874009186	0.0	-63.79519759476874	-51.280233489025946	-63.835109246263414	-34.873582876009344	-40.231858407922815	-37.93063714036768	-42.74015958049509
0.0	-57.994151038945326	0.0	-64.19640738968072	-53.565514927800415	-64.23524498933541	-35.52048903714591	-40.231858407922815	-37.93063714036768	-42.9196273079484
0.0	-59.03925783704152	0.0	-64.57241730515975	-55.646757178222536	-64.60972774175066	-35.70110081150982	-40.231858407922815	-38.03202272939461	-43.26849638053123
0.0	-59.83171676662086	0.0	-64.92225758539274	-57.51250822515783	-64.95702845941102	-36.058105455665135	-40.231858407922815	-38.43481412012791	-43.415309631658644
0.0	-60.76515999001482	0.0	-65.24447114491474	-59.15245949380426	-65.27561445751432	-36.058105455665135	-40.231858407922815	-38.43481412012791	-43.576373983257454
0.0	-61.63436101941437	0.0	-65.5371741273978	-60.55745926291697	-65.56446597484903	-36.3625910827126	-40.231858407922815	-38.94338299773149	-43.70631337345802
0.0	-62.366035064637515	0.0	-65.79971834867112	-61.72265934847944	-65.82338076163664	-36.53619910200308	-40.231858407922815	-39.31862888934431	-43.84273715182488
0.0	-62.96269227010871	0.0	-66.03330589451726	-62.71141888880142	-66.05442390454935	-36.84887224550751	-40.231858407922815	-39.336770387350796	-43.84273715182488
0.0	-63.59403521153157	0.0	-66.23845274110661	-63.604310389360265	-66.2571201672383	-36.84887224550751	-40.80791602140489	-39.442503676075404	-44.09071469454118
0.0	-64.16752195261294	0.0	-66.41121292076772	-64.40245077651618	-66.42834918186028	-36.969172067187245	-40.80791602140489	-39.999531511896095	-44.5859753072676
0.0	-64.73775042131832	0.0	-66.55387864850022	-65.09486606459825	-66.5690397410309	-37.541294895855586	-41.24445584093162	-40.04301130525806	-44.5859753072676
0.0	-65.19571416612695	0.0	-66.66871270114777	-65.67346002501196	-66.68074461507561	-37.61661773446798	-41.24445584093162	-40.09348896182881	-44.5859753072676
0.0	-65.5972338337961	0.0	-66.7538898962003	-66.13062639832883	-66.7636357110695	-37.61661773446798	-41.24445584093162	-40.10882841997053	-44.5859753072676
0.0	-65.85684171376776	0.0	-66.80568997824602	-66.47189627667044	-66.81394492621038	-37.61661773446798	-41.673519486026194	-40.57070394718264	-44.5859753072676
0.0	-66.16144011084995	0.0	-66.83169922043972	-66.69998991315163	-66.83346058458078	-37.88999892666853	-41.77126133092575	-40.78347457148259	-44.77219043517718
0.0	-66.38668334230586	0.0	-66.83922844406494	-66.80375003872935	-59.36391682887019	-38.142327136039334	-41.77126133092575	-40.9310701744694	-44.77219043517718
0.0	-66.55763790379214	0.0	-66.84030215518305	-66.82210706280934	-41.317171302245804	-38.142327136039334	-41.77126133092575	-41.22289760891439	-44.87628098861709
0.0	-66.7039438328662	0.0	0.0	-45.82566759941934	-31.256469245914218	-38.142327136039334	-41.77126133092575	-41.5737554377726	-44.87628098861709
0.0	-66.79271784775003	0.0	0.0	-34.23912353580559	-32.91621797634402	-38.142327136039334	-41.77126133092575	-41.76476541786455	-44.940220322066715
0.0	-66.8268006576845	0.0	0.0	-37.45184407649138	-34.554021260881626	-38.142327136039334	-41.77126133092575	-41.76476541786455	-44.940220322066715
0.0	-66.83349935248982	0.0	0.0	-40.550592307286564	-36.1674979871393	-38.142327136039334	-41.99269791724196	-41.76476541786455	-45.52672117388137
0.0	-66.84104589545883	0.0	0.0	-43.51771013515598	-37.754317199643616	-38.40641726409411	-41.99269791724196	-42.04958230492919	-45.679440154289644
0.0	-66.84067936733047	0.0	0.0	-46.33646799463446	-39.312200359334454	-38.478617330245115	-41.99269791724196	-42.064380572821	-45.679440154289644
0.0	0.0	0.0	0.0	-48.991119507249	-40.83892347099114	-38.53919183918851	-41.99269791724196	-42.17727084457651	-46.586059134831316
0.0	0.0	0.0	0.0	-51.4669483977879	-42.332319080783904	-38.96885530821092	-41.99269791724196	-42.61136978784061	-46.634440574985646
0.0	0.0	0.0	0.0	-53.750307982257084	-43.79027814621207	-38.977674192395924	-41.99269791724196	-42.96959610254145	-47.12583365568536
0.0	0.0	0.0	0.0	-55.82865355012041	-45.21075178074638	-39.07105246858109	-41.99269791724196	-42.96959610254145	-47.575563413710896
0.0	0.0	0.0	0.0	-57.690567968874745	-46.59175287554357	-39.0980442566005	-41.99269791724196	-42.96959610254145	-48.09401785174482
0.0	0.0	0.0	0.0	-59.32578084241459	-47.9313576006451	-39.0980442566005	-41.99269791724196	-42.96959610254145	-48.09401785174482
0.0	0.0	0.0	0.0	-60.72518155621951	-49.22770678811206	-39.0980442566005	-41.99269791724196	-42.96959610254145	-48.09401785174482
0.0	0.0	0.0	0.0	-61.883479431891395	-50.479007199581375	-39.0980442566005	-41.99269791724196	-42.96959610254145	-48.157115425584905
0.0	0.0	0.0	0.0	-62.856839612343336	-51.68353268075805	-39.170223614992025	-41.99269791724196	-42.96959610254145	-48.52430204716296
0.0	0.0	0.0	0.0	-63.733586401401396	-52.83962520538296	-39.40105240879525	-41.99269791724196	-42.96959610254145	-48.75644834453609
0.0	0.0	0.0	0.0	-64.51409717183853	-53.94569581123564	-39.40105240879525	-41.99269791724196	-42.96959610254145	-48.75644834453609
0.0	0.0	0.0	0.0	-65.18888943190312	-55.00022543074774	-39.47372444452957	-41.99269791724196	-43.11683630400488	-48.75644834453609
0.0	0.0	0.0	0.0	-65.75290585998172	-56.001765618816044	-39.79494850980801	-41.99269791724196	-43.21093837748096	-48.75644834453609
0.0	0.0	0.0	0.0	-66.19689904273517	-56.948939180411195	-39.79494850980801	-41.99269791724196	-43.21093837748096	-48.75644834453609
0.0	0.0	0.0	0.0	-66.52078326193848	-57.84044070058543	-39.79494850980801	-41.99269791724196	-43.21093837748096	-48.84393024336511
0.0	0.0	0.0	0.0	-66.7283414022171	-58.675036979483274	-39.79494850980801	-41.99269791724196	-43.21093837748096	-48.84393024336511
0.0	0.0	0.0	0.0	-66.81092423938658	-59.45156737495925	-39.79494850980801	-41.99269791724196	-43.21093837748096	-48.84393024336511
0.0	0.0	0.0	0.0	-63.17123601537143	-60.16894405540241	-39.79494850980801	-41.99269791724196	-43.21093837748096	-48.94021789693316
0.0	0.0	0.0	0.0	-38.42825783586379	-60.826152165361506	-39.79494850980801	-41.99269791724196	-43.26072173606279	-48.94021789693316
0.0	0.0	0.0	0.0	-34.242858439307625	-61.422413388842884	-39.79494850980801	-41.99269791724196	-43.31034122772783	-49.09956074526036
0.0	0.0	0.0	0.0	-37.44531313851183	-61.96404807393641	-39.79494850980801	-41.99269791724196	-43.31034122772783	-49.09956074526036
