Hillclimbing step = 1	Hillclimbing step = 0.5	Steepest Ascent HillClimbing step = 1	Steepest Ascent HillClimbing step = 0.5	Random Restart HillClimbing step = 1	Random Restart HillClimbing step = 0.5	SimulatedAnnealing alpha = 0.993 using t1	SimulatedAnnealing alpha = 0.993 using t2	SimulatedAnnealing alpha = 0.987 using t1	SimulatedAnnealing alpha = 0.987 using t2
-15.907148556196997	-9.930971843651216	-18.984156736520802	-13.981816053429915	-19.5094971304241	-12.317013118748719	-48.8290187694147	-49.80464813356009	-52.442006083265895	-44.97686944711128
-27.540834310404783	-16.50304460342037	-31.324096203673143	-21.2777937194353	-32.160098762427275	-19.54915839769901	-75.41896884653188	-72.21509120271776	-65.5081728165232	-69.42774796489732
-36.75796036137567	-23.323217343141113	-44.26423556711815	-27.401845747357374	-43.971520182502715	-25.863394950573785	-82.43510848947376	-82.02001355836883	-84.620018456291	-84.40548812273306
-49.06298814407797	-28.32945516460242	-56.487208124460516	-33.44750774057244	-55.92880535767732	-31.246071758332675	-90.08806142426651	-87.85015372700938	-90.77355246803845	-86.84729483703242
-58.02637967174112	-30.941234322368246	-67.84083271462949	-40.19523591144929	-67.08063278431965	-37.5551486433577	-94.23111170174236	-88.35046423841894	-90.77355246803845	-86.84729483703242
-66.66099974478595	-36.488874080034904	-79.77996032732483	-46.63185906298408	-78.81177278576467	-44.27800478089435	-94.23111170174236	-90.09529467350819	-90.77355246803845	-88.6480501124764
-78.35966513823837	-43.13089016953022	-91.96886602194034	-51.407739438458634	-90.6132113823935	-49.76590513914037	-94.6105095036745	-93.40167037258712	-91.89933114863283	-92.08173787785412
-85.91491977631928	-49.71106658576356	-103.04154830361942	-57.18448828375606	-102.35758977914861	-54.91262442823089	-98.32732858899847	-97.35095190886742	-91.89933114863283	-96.19596436124104
-93.62711210694877	-53.32389876662883	-116.70430333263175	-63.91931372076387	-112.51519222464188	-60.64528467593228	-100.81996037474423	-97.4896862534622	-91.89933114863283	-96.19596436124104
-104.65586109466965	-56.89724342822863	-127.21069764166946	-69.406243753692	-121.00850296529022	-67.06970728665229	-105.71800423140215	-97.4896862534622	-93.40887631804932	-99.89351139904846
-111.21338412927018	-62.49184929757554	-134.463956340792	-74.26170398763637	-126.59564582894106	-73.28287352894384	-105.71800423140215	-97.94095140826617	-93.40887631804932	-99.89351139904846
-114.33459811551876	-68.83694617407998	-143.8003191374694	-79.59277741647277	-89.27765362452332	-78.71496124660658	-105.71800423140215	-97.94095140826617	-93.40887631804932	-99.89351139904846
-114.71585290319153	-74.24814294422067	-160.8105465800178	-86.00627603718463	-63.41427736993974	-83.7083589066084	-105.81917218847563	-99.92166552212545	-93.40887631804932	-100.96999456368088
-113.84868715560319	-78.34504173586893	-169.75289989816636	-92.6674793792138	-61.11652028696229	-89.58646778537606	-105.81917218847563	-99.92166552212545	-94.908352327232	-102.84161135131565
0.0	-83.17205035110574	-181.48729439205184	-97.98085132277205	-42.05231674708211	-96.14591586417694	-109.13435103858319	-99.92166552212545	-95.76763998988568	-102.84161135131565
0.0	-89.33349997004527	0.0	-102.12901174338914	-54.15621264067613	-101.93078763354998	-109.13435103858319	-101.62412292488952	-95.76763998988568	-102.84161135131565
0.0	-94.93595175123073	0.0	-106.87893979200916	-64.92314797602114	-106.9583753258972	-109.13435103858319	-101.62412292488952	-95.76763998988568	-102.84161135131565
0.0	-99.87330002690555	0.0	-113.37375467090358	-76.96052033510837	-111.60779148605941	-109.13435103858319	-101.62412292488952	-95.76763998988568	-104.57030896340434
0.0	-104.05000119289836	0.0	-120.38054989479629	-87.949542249005	-115.99069382819543	-109.13435103858319	-101.62412292488952	-97.10515882112745	-104.57030896340434
0.0	-109.66067875610474	0.0	-126.14741071121009	-100.40991237709895	-120.92936154308491	-109.13435103858319	-101.62412292488952	-97.10515882112745	-104.57030896340434
0.0	-115.83689428371481	0.0	-130.0916191088848	-111.58998588567268	-115.80206616970709	-110.29160831036549	-101.62412292488952	-97.93933679703609	-104.67768224872323
