Hillclimbing step = 1	Hillclimbing step = 0.5	Steepest Ascent HillClimbing step = 1	Steepest Ascent HillClimbing step = 0.5	Random Restart HillClimbing step = 1	Random Restart HillClimbing step = 0.5	SimulatedAnnealing alpha = 0.993 using t1	SimulatedAnnealing alpha = 0.993 using t2	SimulatedAnnealing alpha = 0.987 using t1	SimulatedAnnealing alpha = 0.987 using t2
3.043659990418138	2.340374473047239	1.894695692825999	1.5603967297735524	1.7513428696452091	1.6390005413791626	-4.213993462286664	-0.6069758357221311	-6.031590714513218	-1.849611580106685
1.78741031826935	1.8355128533306597	1.8013070599268377	1.5407138831187597	1.6722669891284832	1.5640805704225709	-5.083436787625088	-4.329377971065595	-6.068155941558297	-2.9518436535044894
1.6512562514319409	1.684713856967929	1.8312725647573753	1.5612162669672796	2.1329646937284483	1.5719957438691612	-12.268902942085035	-16.87221036877074	-14.559109871411673	-13.984754776145005
1.6147689961615308	1.6253676965787833	0.0	1.5596472577628786	1.7973008130141146	1.5522159584417345	-15.410033934658093	-21.355799024041655	-18.37854821089841	-26.546503709355726
0.0	1.6236787218750401	0.0	0.0	1.7925186968023994	1.6045055691735268	-18.669733841178015	-22.928345695745612	-19.69877006027955	-26.546503709355726
0.0	1.5217058664536243	0.0	0.0	1.8123168566613583	1.6003954879152613	-21.739845529428873	-23.49658740416687	-19.69877006027955	-26.546503709355726
0.0	1.5217058664536243	0.0	0.0	1.8247958413175365	1.597980517198687	-21.739845529428873	-31.73644043808013	-19.69877006027955	-30.135746145293176
0.0	0.0	0.0	0.0	1.7876922844606973	1.5738712301000914	-22.04574901066847	-31.73644043808013	-22.45379529468802	-37.529687690399996
0.0	0.0	0.0	0.0	1.8113603702024725	1.573241616147812	-22.04574901066847	-31.752991358906097	-23.292867499100964	-38.90928458307163
0.0	0.0	0.0	0.0	1.920387066332871	1.5785340909768029	-22.18655139143191	-32.925891884262725	-24.76026837199615	-38.90928458307163
0.0	0.0	0.0	0.0	1.9066995761083276	1.6196356078890564	-22.18655139143191	-32.925891884262725	-32.661304129945165	-38.90928458307163
0.0	0.0	0.0	0.0	1.6874097178148515	1.5514614561439357	-22.18655139143191	-37.436439983281964	-32.661304129945165	-38.90928458307163
0.0	0.0	0.0	0.0	1.9323924575262361	1.5251317771778514	-25.183684217235744	-38.403918819881625	-33.44562508008049	-40.81919519946048
0.0	0.0	0.0	0.0	1.580605693797425	1.5169635081073887	-25.183684217235744	-39.84797830736433	-33.62299596645662	-40.81919519946048
0.0	0.0	0.0	0.0	1.580605693797425	0.0	-25.4054859774151	-47.4587712767012	-34.048623845403085	-40.81919519946048
0.0	0.0	0.0	0.0	0.0	0.0	-37.292576559149765	-47.4587712767012	-39.55236441563406	-40.81919519946048
0.0	0.0	0.0	0.0	0.0	0.0	-41.28327029493112	-47.4587712767012	-40.657802015616	-40.81919519946048
0.0	0.0	0.0	0.0	0.0	0.0	-41.28327029493112	-47.4587712767012	-48.569835409669125	-40.81919519946048
0.0	0.0	0.0	0.0	0.0	0.0	-44.18709138160897	-47.4587712767012	-48.569835409669125	-43.90447481218786
0.0	0.0	0.0	0.0	0.0	0.0	-44.18709138160897	-47.4587712767012	-48.569835409669125	-52.04808020471053
0.0	0.0	0.0	0.0	0.0	0.0	-44.18709138160897	-47.4587712767012	-55.47898059357772	-52.04808020471053
0.0	0.0	0.0	0.0	0.0	0.0	-44.18709138160897	-47.4587712767012	-63.469487698458764	-57.21460969773726
0.0	0.0	0.0	0.0	0.0	0.0	-44.18709138160897	-47.4587712767012	-65.09591797694036	-61.234855178500766
0.0	0.0	0.0	0.0	0.0	0.0	-44.88966525461298	-47.4587712767012	-65.09591797694036	-61.234855178500766
0.0	0.0	0.0	0.0	0.0	0.0	-44.88966525461298	-47.4587712767012	-65.09591797694036	-61.234855178500766
0.0	0.0	0.0	0.0	0.0	0.0	-44.88966525461298	-47.4587712767012	-65.89809601526414	-61.234855178500766
0.0	0.0	0.0	0.0	0.0	0.0	-44.88966525461298	-47.4587712767012	-65.89809601526414	-61.234855178500766
0.0	0.0	0.0	0.0	0.0	0.0	-44.88966525461298	-53.03175374762766	-67.25249105373653	-61.234855178500766
0.0	0.0	0.0	0.0	0.0	0.0	-44.88966525461298	-53.03175374762766	-67.25249105373653	-61.234855178500766
