test_0	test_1	test_2	test_3	test_4	test_5	test_6	test_7	test_8	test_9
-9.388813841065753	-16.401890247429723	-5.617924031485142	-16.530893748740873	-9.602411735573734	-14.485105947358981	-16.33809330862206	-4.350778441946854	-10.105637022598987	-6.647124688152043
-16.37433435695294	-23.68733794673119	-11.55365921518897	-23.865878296843253	-16.869759973713272	-21.436899144641263	-23.66846505869173	-8.756597765354957	-15.937762514500205	-12.118665421789721
-23.49511380326093	-28.93070949419403	-18.88431019604789	-29.46985808808634	-23.539626724958723	-28.585989743200166	-29.229576360471427	-15.539079914705553	-23.25041178232296	-19.341161913717826
-27.987980995930943	-35.45770358077304	-25.28196215147813	-30.051884368584208	-26.62885704177703	-33.188769734503026	-29.72065540597014	-22.793108632622673	-29.74882850399987	-26.128587835424156
-29.451966726299116	-42.7923283941457	-27.668700258895942	-31.386267907015178	-27.841391668045915	-39.53236937970061	-34.03326757204113	-27.86356766173034	-32.38825635746354	-29.544916858396512
-34.318494899935146	-48.39283431568748	-29.65643959615633	-36.15333524745474	-32.51403454365891	-46.88784972567558	-40.76826063726208	-29.813420369285804	-37.88838567647273	-34.26030468528458
-41.31677740846845	-48.96747172677388	-34.914260825466066	-43.10790003228338	-39.42556606001321	-52.785353032906244	-48.04309400474179	-35.04353079308547	-45.11940390194658	-41.19149654562354
-48.42602614352837	-52.927054305190694	-42.066600524584466	-50.254775903881594	-46.60476660850607	-54.005021561870905	-53.22522707758906	-42.18599237879824	-51.886993403479956	-48.35646289711376
-52.87545299674432	-59.47200220791683	-48.987895271270865	-54.84877650462985	-51.330416580534674	-55.08364276921634	-59.49364893409664	-49.12289857209299	-55.2468365506677	-53.02317419745567
-55.53229350094868	-66.80316585940339	-52.80258164328456	-60.91002783669964	-55.260731354288986	-59.651510239282274	-66.85107320705922	-52.986342818638605	-60.7339538431169	-58.84150628621917
-61.26298140465481	-72.37139568410154	-58.118221962616936	-68.25681009359316	-61.78924689237967	-66.51363579781298	-72.85543763923405	-58.666856267271655	-67.96112011468792	-66.15146455270303
-68.55432564273023	-72.8775421064624	-65.29061561950756	-74.51964248754524	-69.12358926619952	-73.72503127055269	-74.31467997337838	-65.94641840722495	-74.73779783304568	-72.66263501204145
-75.14313515004254	-75.68062206146332	-72.17809343336187	-76.57904423079071	-74.72138454714134	-78.5907084832457	-75.53579935310357	-72.57714991429748	-78.12344946585513	-75.33460367936864
-78.0162188614592	-81.51022310891429	-75.8889862235853	-78.92406050564128	-75.29025880659792	-82.34467969705703	-80.21512345774332	-75.56117146428822	-84.22192165516253	-76.09495638909397
-83.27409646841377	-88.82238487253008	-80.44328276193559	-84.4383779091366	-79.8852617658888	-88.77214885976197	-87.12974727337905	-80.5276739266387	-91.57217488002266	-80.40970947415501
-90.42645609055482	-95.32314697602544	-87.29888616724186	-91.67354485548776	-86.76034512630672	-96.12116169591793	-94.30676578609226	-87.56814310295263	-97.79207724475177	-87.14580657978888
-97.34771868733023	-97.96854904311516	-94.51417916027917	-98.43110975890575	-93.96376242810953	-101.88976393008238	-99.0232739819644	-94.63566394483348	-99.74949685366614	-94.42019135123267
-101.16230521818792	-100.9027026319195	-99.39754446182265	-101.76262103360165	-98.79376721155506	-102.8260012868127	-103.66594194407739	-98.93332140388469	-101.85516264406239	-99.5998074337235
-106.40833551508929	-106.81950054346684	-102.5509017541164	-107.60793027644966	-102.43325639108792	-109.37411623702285	-110.56351313431742	-100.27138516210489	-107.19861965338093	-103.87855353566141
-113.55649289172759	-114.14716229835196	-108.61030567504915	-114.92308880784327	-108.79332600572783	-116.70463991900134	-117.75231038037742	-105.041290730118	-114.38038597762514	-110.59600109473105
-120.48447674992444	-120.56390741716959	-115.9568992967383	-121.40917457448053	-116.14791005141005	-122.26710987562615	-122.51865650995039	-111.99712635274412	-121.2509797127984	-117.8777509598381
-124.31998649150142	-122.99795542051447	-122.2218256913013	-124.01726552305948	-122.02094252406985	-122.7610636497752	-122.51865650995039	-119.14298027480326	-124.91091895490409	-123.09940397988822
-124.31998649150142	-122.99795542051447	-124.28622793085556	-124.01726552305948	-123.18635741964252	-122.7610636497752	0.0	-123.7329407411155	-124.91091895490409	-123.09940397988822
0.0	0.0	-124.28622793085556	0.0	-123.18635741964252	0.0	0.0	-123.7329407411155	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
