test_0	test_1	test_2	test_3	test_4	test_5	test_6	test_7	test_8	test_9
-28.609135210630225	-29.189729249127286	-28.244063894303224	-29.22415072203485	-28.725314939570602	-30.281179294366336	-28.47437873363629	-30.58807544535813	-28.372464432990984	-28.349730440135648
-30.298046464325587	-30.872230842102432	-29.935150596418737	-30.90474129209284	-30.41620447878945	-31.957347921242427	-30.15825484649349	-32.25797667832897	-30.06093088360294	-30.031674425822406
-31.968853251892536	-32.53578449177806	-31.608673768888654	-32.56634179730919	-32.088801202856416	-33.61295127337747	-31.824253296131104	-33.906885774801644	-31.73165311747274	-31.695933053633166
-33.6191010254034	-34.17795177381503	-33.2621708032591	-34.206516464794014	-33.74065010722271	-35.24557484496105	-33.46992297825626	-35.53240001091304	-33.382173421804055	-33.34005531480266
-35.246381551271696	-35.79634142320189	-34.89322480638484	-35.822876678331205	-35.36934279391399	-36.852853083875395	-35.09285869047166	-37.132165949777	-35.0100799455063	-34.96163582731701
-36.84833538171336	-37.388611759117204	-36.49946710129916	-37.41308340047468	-36.97251993336571	-38.43247172871722	-36.690703614267704	-38.703881754311816	-36.61300918972137	-36.5583173272773
-38.42265419084292	-38.95247297514989	-38.07857959233277	-38.974849460101375	-38.54787359091447	-39.982170012324765	-38.261151661717356	-40.24529936706468	-38.18864836280364	-38.127793024925865
-39.96708297748892	-40.48568929698749	-39.62829699654654	-40.50594170752928	-40.093149420041826	-41.49974273397964	-39.80194968894069	-41.75422655920799	-39.73473760182057	-39.66780882739109
-41.479422136886804	-41.986081009753114	-41.14640894361806	-42.00418303938036	-41.606148724540745	-42.98304220251758	-41.310899578480296	-43.22852885094843	-41.24907206271766	-41.17616543028254
-42.95752940347471	-43.45152635723687	-42.63076194639168	-43.467454295431196	-43.08473039183994	-44.42998005264317	-42.7858601927967	-44.66613130564824	-42.72950388135834	-42.65072028033659
-44.399321667076535	-44.87996331532419	-44.079261244360474	-44.89369602975436	-44.52681269978153	-45.83852893679621	-44.224749201153884	-46.06502020000967	-44.17394400771132	-44.08938941137414
-45.802776664811276	-46.26939124197688	-45.48987252240697	-46.280910158502486	-45.930374999199344	-47.20672409496506	-45.62554478221941	-47.423244572722055	-45.580363915511576	-45.49014915588703
-47.16593455111524	-47.61787240616697	-46.86062350717589	-47.62716148673544	-47.29345927469348	-48.532664804884064	-46.98628720475287	-48.73891765401014	-46.94679718977162	-46.85103773462033
-48.48689934830586	-48.92353339820514	-48.18960544349768	-48.93057911672977	-48.61417158603748	-49.81451571508908	-48.30508028879905	-50.0102181785596	-48.27134099456131	-48.17015672655924
-49.76384028015257	-50.18456642393995	-49.4749744533183	-50.189357740245434	-49.89068339269159	-51.05050806333597	-49.580092749840084	-51.23539158432576	-49.552157423513414	-49.44567242176984
-50.99499299095294	-51.39923048533482	-50.7149527796251	-51.40175881725533	-51.121232763926	-52.23894078291505	-50.80955942839362	-52.41275109975852	-50.78747473554441	-50.67581705957407
-52.17866065263854	-52.56585244995548	-51.90782991788575	-52.56611164366845	-52.30412547708594	-53.37818149941568	-51.99178240757176	-53.540678721997615	-51.97558847830829	-51.85888995456944
-53.313214962458446	-53.682828011921345	-53.05196363754216	-53.68081431059911	-53.43773600655145	-54.466667420514376	-53.125132021139635	-54.61762608861081	-53.114862501924456	-52.99325851302662
-54.39709703380673	-54.748622546892605	-54.14578089611969	-54.74433455775181	-54.52050840596384	-55.502906121373876	-54.20804775463062	-55.64211524546092	-54.20372986554053	-54.077359142218576
-55.428818182774734	-55.76177186367701	-55.18777864852858	-55.75521052350477	-55.55095708630434	-56.485476228251045	-55.23903904209153	-56.61273931329802	-55.24069363930573	-55.10969805524986
-56.40696061301995	-56.72088285505061	-56.17652455414539	-56.71205139428454	-56.52766749242116	-57.41302800291879	-56.216685961041925	-57.52816305567938	-56.22432760434213	-56.08885197396699
-57.33017800155063	-57.62463405039283	-57.11065758427104	-57.61353795583064	-57.449296680607986	-58.28428383051091	-57.1396398282396	-58.38712335082351	-57.15327685330933	-57.01346873253875
-58.19719598802923	-58.4717760727392	-57.988888532566186	-58.45842304895192	-58.31457379984083	-59.098038613399304	-58.00662369884918	-59.18842957000466	-58.02625829416239	-57.88226778430031
-59.006812570198676	-59.26113200285464	-58.810000431066996	-59.24553193237621	-59.1223004792801	-59.85316007371074	-58.81643277161167	-59.93096386509127	-58.842061059704115	-58.69404061445669
-59.757898408033384	-59.99159765292756	-59.572848874382125	-59.97376255529177	-59.87135112464312	-60.54858896708549	-59.56793470261166	-60.613681367826906	-59.59954682553175	-59.4476510612396
-60.44939703921199	-60.66214175247918	-60.276362254668385	-60.642085742173485	-60.56067312604621	-61.18333921027209	-60.260069830233974	-61.235610303443686	-60.297650038973444	-60.142035548107955
-61.08032500850156	-61.27180604907376	-60.91954190997493	-61.24954529247819	-61.189286979908694	-61.75649792514266	-60.891851313894946	-61.79585202118812	-60.935378061602535	-60.776203229575124
-61.64977191363265	-61.81970532640541	-61.501462188536905	-61.79525799778306	-61.75628632749981	-62.26722540170073	-61.462365189123744	-62.29660218720138	-61.51181122790897	-61.349236053237
-62.15690037023279	-62.31648062064744	-62.02127043158768	-62.29178275229681	-62.260837912698214	-62.74366463608928	-61.97256997648021	-62.777042802263765	-62.0261028226946	-61.861700506972845
-62.6343668827635	-62.79377756963469	-62.505298910460645	-62.7691947440743	-62.7355840729161	-63.200147503722384	-62.464159334047395	-63.23567370260972	-62.50806600603433	-62.35621949561979
-63.09298700026441	-63.25010687871372	-62.970544607285014	-63.226009397365345	-63.19088727078986	-63.63518268861851	-62.93565255353633	-63.6709822424182	-62.97163768108115	-62.831321120675916
-63.531283281182574	-63.68396538978909	-63.41552968881187	-63.660727684743684	-63.62526285009932	-64.04726566286081	-63.38555377157286	-64.08144568583062	-63.41534569991499	-63.28551729530948
-63.947763295632	-64.09383840867181	-63.83876127078871	-64.07183842633262	-64.03721210194162	-64.43488104717446	-63.81235423327667	-64.46553371082979	-63.83770223661865	-63.71730595694977
-64.34092190100026	-64.47820214352733	-64.23873368973452	-64.45782069978794	-64.42522458564595	-64.79650508299348	-64.21453466615871	-64.82171102620609	-64.2372060287377	-64.12517338954476
-64.70924362801313	-64.83552625570353	-64.61393088512729	-64.81714636234167	-64.78778056070333	-65.13060821727225	-64.59056776566804	-65.14844010273895	-64.612344728768	-64.50759665685608
-65.0512051785818	-65.16427652412692	-64.96282889333071	-65.14828268611956	-65.12335353099985	-65.43565780120139	-64.93892079363044	-65.44822148575456	-64.96159736702185	-64.86304614807642
-65.36527803666752	-65.46291762435378	-65.28389845449804	-65.44969510784618	-65.43041290254864	-65.71012090388521	-65.25805829072502	-65.72460196888514	-65.28343692713669	-65.18998823696208
-65.64993119330249	-65.72991602325455	-65.57560773359404	-65.71985009394538	-65.70742675581674	-65.95246724192634	-65.54644490404053	-65.96968504654433	-65.57633303539536	-65.48688805557276
-65.90363398680026	-65.97415867384004	-65.8364251565723	-65.95933516525533	-65.95286473363429	-66.16377966739235	-65.80670248578947	-66.18194472373428	-65.83875476492611	-65.7522123836025
-66.12485905907705	-66.1905165731094	-66.06482236263169	-66.17897576973934	-66.16520104555757	-66.35555150262363	-66.04459444270559	-66.35986209042697	-66.06917355573862	-65.99141103168063
-66.31208542888267	-66.37340999207638	-66.25927727335498	-66.36553729128117	-66.34954579887173	-66.51339944558603	-66.2499042240841	-66.51934133749079	-66.26606625143485	-66.20614019921068
-66.47772621421981	-66.52132593225349	-66.43660980137417	-66.51750494576494	-66.51122247005497	-66.63581553280433	-66.42111321231435	-66.6464521652924	-66.434682837304	-66.38747368375645
-66.61418982154593	-66.64622396701215	-66.58024028919161	-66.63691804859587	-66.63800642544729	-66.72905152716008	-66.5601143486065	-66.73744893299319	-66.58091011500113	-66.53389843916133
-66.71487761632362	-66.74341593142623	-66.68814669399823	-66.73829214629465	-66.72839845840728	-66.80086470359053	-66.68071311933817	-66.79687830015024	-66.69182913142853	-66.65366329281406
-66.7799885533936	-66.8038772450108	-66.76480932344064	-66.80331712592682	-66.79695560781514	-66.83550882120196	-66.76544432031343	-66.83737185692404	-66.7659451473514	-66.74941672017205
-66.83020636859372	-66.82979216706961	-66.8221691572418	-66.83051125477918	-66.83670997343698	-66.83550882120196	-66.81282019209124	-66.84003394309401	-66.81983061079056	-66.80850929021771
-66.84292478307701	-66.83988070372872	-66.84207680363026	-66.83807703994589	-66.8383556476864	-66.8426168207027	-66.83866823979398	-66.84003394309401	-66.84333123286217	-66.82946254932227
-66.84292478307701	-66.83988070372872	-66.84207680363026	-66.83807703994589	-66.8383556476864	-66.8426168207027	-66.83866823979398	-66.84098109463407	-66.84333123286217	-66.83802013045326
0.0	-66.84248561216431	0.0	0.0	-66.84118045030903	0.0	-66.83819189814477	0.0	0.0	-66.83802013045326
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
