test_0	test_1	test_2	test_3	test_4	test_5	test_6	test_7	test_8	test_9
-28.46115168128981	-34.316636416703226	-32.40296905426291	-29.400784220141738	-33.179044655509124	-33.17855635632142	-34.04189092851173	-33.69674283622909	-31.75000272314459	-32.841117022679505
-30.424968866791314	-36.713678262756105	-36.33078837384629	-35.53007792062934	-39.090607590468124	-34.624420510320135	-39.030359488890646	-41.78178214397816	-38.00120198986179	-36.78324356721124
-37.57335147826682	-44.75522229154726	-40.569210231971276	-38.854089985644215	-45.24638659976204	-36.792029666074384	-43.93448642372566	-42.34681179455122	-43.42576938376177	-43.28657118085674
-42.97856885371167	-47.48921288863228	-45.844274189530026	-41.84833957566246	-50.320687803983716	-39.587542177102236	-50.15851831286124	-49.089681737877214	-47.16357565524905	-47.64253525254595
-44.3880546647692	-52.22703033971521	-48.24735275582178	-44.87507930502557	-55.754576200916205	-41.47928072755826	-55.79034859581296	-54.6624796001528	-52.430678440376354	-49.91984070387971
-46.813860351709856	-56.533904139423456	-53.944848344035	-50.20194028884191	-58.58821310053488	-44.39281975422559	-58.21988997407605	-57.80514171413929	-57.02867462578834	-51.35463609979577
-49.176165269210614	-59.14274880876804	-54.69305752317326	-55.35827963710524	-59.91977585157816	-47.50909178146101	-58.50234748993795	-59.16421401960814	-60.766052620526565	-56.945386922484936
-54.37414871588503	-62.47691591422498	-60.23979268576512	-56.492127215276724	-61.67530514805266	-50.9950278881452	-58.50234748993795	-62.32850205628613	-62.639453365446755	-60.93545831332426
-57.39068610159673	-63.267986938948866	-61.62246235480957	-58.48337986935141	-64.4814008908204	-55.335213956205685	-59.7537548989355	-63.95012759100121	-64.57554165822091	-63.848894960107074
-59.50505280774389	-63.267986938948866	-62.71305299244849	-58.48337986935141	-64.56395254728926	-55.690722165081205	-60.792860211443724	-65.76157910974611	-64.64838846261954	-65.02808701183837
-60.05220505781998	-63.411828483293064	-64.34074471491599	-60.29579347557732	-65.5752645906896	-56.80861700703878	-60.792860211443724	-66.61173363003009	-64.64838846261954	-65.40266117405795
-61.51810221679403	-63.411828483293064	-64.34074471491599	-60.29579347557732	-66.08588717007225	-59.81061303143443	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-63.80353609281289	-63.411828483293064	-64.34074471491599	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-64.55345081143372	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
-65.42610617916358	-63.411828483293064	-64.83110937752171	-60.29579347557732	-66.08588717007225	-62.02505878421542	-60.792860211443724	-66.800036755915	-64.91720261523633	-65.40266117405795
