test_0	test_1	test_2	test_3	test_4	test_5	test_6	test_7	test_8	test_9
-9.84720587669999	-9.019894369096976	-11.930094612099298	-17.307488486552835	-12.212060643050386	-17.59437863938388	-22.205901111299085	-7.246078675784944	-9.797689236788289	-10.625358935704213
-17.13652442771073	-16.146150710930048	-19.236854835894093	-24.623577279022374	-19.563439435993338	-24.88573717030703	-29.53312754294052	-14.237077734061168	-17.106732867545315	-17.883280487221604
-23.73287779069728	-23.10732895739266	-24.615540627184075	-30.318990073613897	-25.370406331627244	-31.572908527969922	-36.01948924541152	-21.352965123612353	-23.622134520659632	-24.580894949745183
-28.903647780458087	-28.261271185838524	-29.105190784592942	-37.60213342443541	-30.93410107377598	-38.86568731242987	-43.36093757046346	-26.07403550474148	-28.69631222937021	-29.535009595961597
-36.02439291933904	-35.37572134131756	-35.92934978637582	-44.22060109796817	-38.183280125023025	-44.15348884405508	-49.48559153621414	-33.00781882968889	-35.78012929617791	-36.57035040953138
-42.993472747858256	-42.35362015962012	-43.16237688321681	-49.84152927494269	-44.90500346013564	-49.432530369475025	-56.8379005531349	-40.17084359287155	-42.79805904888546	-43.64326201891432
-46.95924680653385	-46.8102360108599	-48.12863132580001	-57.10609424301725	-48.13633105388106	-54.09190053731961	-63.02673778413316	-44.8296382887064	-46.92457481529559	-48.3172254884013
-50.4513871054024	-53.61809148321968	-50.87690586957426	-63.78435804814869	-50.335332523074406	-60.9972679844015	-69.14124458715679	-49.30398817896878	-50.12158541041168	-55.229368783361764
-56.722725548589594	-60.859659245233324	-56.669635624184586	-69.2295839432534	-55.74589443456685	-68.18075666998683	-76.49279544085621	-52.612056990766234	-56.20888962702891	-62.408139285874924
-64.08013741380167	-65.8674119654347	-63.97442386259834	-74.08726586369005	-62.9495086012552	-72.9244905533417	-82.69375925037416	-58.76956769337001	-63.55816804546677	-67.13198437802
-70.08049797874487	-69.86170018235116	-70.50887385778287	-81.08172923335096	-69.77766683603629	-76.49144084654667	-88.3650337332892	-66.12398861837006	-69.79110124604478	-71.44881141167593
-72.97341697687433	-73.80210141115234	-73.25669396000313	-88.19447844038811	-73.3118609518069	-82.80810156134201	-93.89872209697529	-72.27278809735635	-72.47389527487903	-75.34374558349491
-74.42360151925486	-75.90541750958245	-79.04911698190907	-92.6570178729535	-75.4686301292759	-90.16467519712528	-97.49598061679829	-75.49709852367906	-75.01797406046765	-81.85226587045739
-75.86032360621094	-81.24717743696259	-86.3538419166439	-95.76904256109864	-80.84890315923009	-96.10136425329404	-103.83084357409886	-81.6017643858669	-80.67125840361095	-89.190162981051
-80.70601298114316	-88.42837716176996	-92.88856775735098	-98.72042832382391	-88.0427915349828	-98.1732159454548	-111.18672856597226	-88.95253318890454	-87.94409963155682	-94.82322762376339
-87.69527699581381	-95.30001265248174	-95.6209934971736	-101.59494948419959	-94.89040674984734	-103.49221416772653	-117.09705318951372	-95.16515243777668	-94.59684907155321	-97.9880919019606
-94.81272300198515	-98.96307987757515	-98.35270852209626	-107.47225103364457	-98.48186029713702	-110.66574887454489	-119.00979885999293	-97.105369637468	-97.63985805084799	-100.01333954586498
-99.29295835141946	-100.98048640376462	-99.90984488056921	-114.79323862777755	-99.57440591659656	-117.55121002034547	-120.89403746797613	-98.89601600203052	-99.89586541561195	-105.29850037438123
-100.38565865484573	-106.2599396921037	-104.8472296422492	-121.24881792221709	-104.15321630414094	-121.25598755956389	-122.14221932028094	-100.54865912699042	-105.3471142581588	-112.46041754302419
-104.96459054283562	-113.41987138585978	-111.87559949977376	-123.77989457258181	-111.02058078895519	-122.56299453551574	-122.86805949634125	-105.55813586006808	-112.56343265727112	-119.36593420730875
-111.83201309434864	-120.32871312830011	-118.9556911457804	-124.02755562973772	-118.22878870022438	-122.56299453551574	-123.30122120035936	-112.61617261446095	-119.36464869173152	-123.13189352274978
-119.04018538834427	-124.10489656269206	-123.29824127290664	-124.02755562973772	-123.08012936713357	-11.799805217326393	-123.30122120035936	-119.66449580336646	-122.82059044032255	-123.7759164060686
-123.89136650378205	-124.10489656269206	-123.40764939375322	-4.152686563168818	-124.10013003363424	-19.144715251951823	-15.670920694090988	-123.89483183998203	-124.80885900336017	-123.7759164060686
-123.89136650378205	-16.307253095925137	-123.40764939375322	-10.6744311603853	-124.10013003363424	-25.42749689767085	-23.005022235430225	-123.89483183998203	-124.80885900336017	-14.518993434166891
-6.846590051789019	-23.60563444292511	-12.40477169068657	-18.01001524075772	-18.119170432536215	-31.141481424015918	-28.885522195418776	-16.444729670227158	-7.8986504061725755	-21.875721512322713
-13.780925681037097	-30.1057376686429	-19.7615713057584	-23.61983935513477	-25.458288973386363	-38.428991571613864	-36.20707197850626	-23.801136652563862	-15.058219685563976	-28.048178762373666
-20.943534624327608	-37.4450310015729	-25.709089790969763	-26.86983143104119	-31.736454982051754	-45.031954965827794	-42.659555240554255	-29.953417905301094	-21.967665250300684	-35.403382855717425
-25.600637530187335	-43.09271648291153	-30.55251736279359	-32.99076842675089	-39.0938185045318	-48.54457308571033	-48.255050649847554	-37.30753830813126	-26.218531509094323	-41.53356972954177
-29.98724322245646	-48.41586356981902	-37.54079796364304	-40.34280544256466	-45.23632000275139	-54.82837280581396	-53.25005354741817	-43.46279026249509	-32.92142125691542	-47.47748164058024
-36.76003361487446	-52.392716731258645	-44.65912353875636	-46.5360975787833	-52.58984195426179	-62.18567593410998	-60.30221249252518	-49.39236300905681	-40.2086139015369	-52.322600622516376
-44.01856682071582	-58.94731470887687	-49.142686033371795	-49.74729945946501	-58.75707891228603	-68.16880427856965	-67.35708831428579	-54.58572151479355	-45.46238885073167	-59.31161671883375
-49.11240095325504	-66.27650037695814	-53.5605857165607	-55.84363715320211	-64.74802319763961	-71.07914854476265	-71.61024184181724	-61.71482248209935	-49.36737647649171	-66.42928472578137
-52.477733713410224	-71.82711660978691	-60.34913508552966	-63.19370854267035	-70.39385161233649	-73.83708186147967	-75.64699276784222	-68.67185423406113	-55.88159291334208	-70.91035943960823
-58.67100051111432	-75.36616446622337	-67.60027332239508	-69.41611151054548	-74.12929526282691	-79.636327089726	-82.2347881649275	-73.44329040826698	-63.21851175934608	-73.62145078510903
-66.02710486017858	-81.66598607836376	-72.65593960927336	-71.8698829296279	-80.54595050605622	-86.94245241490187	-89.55651732532219	-80.39981081279241	-68.84160661256695	-79.38902921507643
-72.13095027441418	-89.02301478757025	-76.30426322857241	-77.46048492028925	-87.89607096672717	-93.47102602240754	-95.04506954127554	-87.545112374637	-72.61964923399505	-86.6885211680103
-75.2726040181317	-94.983683935205	-82.66958278364001	-84.71701413705073	-93.6819102695425	-96.18761609764329	-97.56836993814564	-92.13289202080031	-74.2498988076132	-93.24535308241047
-81.32449907615913	-96.76822120689893	-90.02384391623804	-91.41856723443352	-96.45538218407029	-98.29475833871038	-98.43282364471149	-96.06004288050497	-79.24252315237855	-96.03495139677682
-88.67031033856952	-101.8763123102792	-95.88899226812835	-94.59424086695886	-102.26509365852118	-99.70603370730501	-102.83099166583126	-99.16751769656773	-86.29371236132448	-97.81138996155154
-94.94371269543592	-108.97331186684893	-98.7366103068865	-96.55757329591658	-109.57333636312575	-100.50978382002772	-109.60962049000045	-105.19741499967463	-93.34965652748446	-102.91345780765911
-98.03554702991102	-115.97457449811118	-104.5959975546268	-98.45227565284088	-116.09240196811447	-104.85938371522904	-116.86545660571454	-112.5407914080477	-97.60654574389187	-110.00813297397299
-104.05534397292317	-120.04545482556905	-111.91376689901014	-100.32361189161831	-118.78458214371793	-111.61336400259907	-121.945246501469	-118.83870353990888	-98.918014120777	-117.01239349936662
-111.39753207705681	-121.40619775299423	-118.38653122769749	-105.49599190618964	-120.61822866147904	-118.88025529182786	-122.5092325592677	-120.98220801348015	-103.66739087871792	-121.09321742271351
