test_0	test_1	test_2	test_3	test_4	test_5	test_6	test_7	test_8	test_9
-31.18826715279583	-33.069227752552266	-31.696383079540773	-32.65288681823137	-30.863667081867252	-31.19258139948364	-30.185580139595587	-30.46364803869805	-29.388624592643286	-33.171578658984274
-34.48629013430447	-36.329382896558755	-34.96718266892328	-35.92484016191525	-34.160223958495564	-34.50285316901073	-33.50280246533353	-33.77298732779709	-32.7190577877319	-36.42793837017547
-37.68746051867968	-39.481927210030506	-38.138400207192156	-39.09151463370497	-37.36186967101115	-37.71607662423877	-36.72892081460953	-36.98965542290782	-35.96298202058634	-39.57612751017477
-40.77333352620008	-42.50883910490784	-41.19177577779461	-42.134780473215294	-40.45011969167644	-40.813755510406864	-39.8452689488273	-40.09505815896015	-39.10156364921375	-42.59815488589346
-43.726334269577734	-45.39300722672561	-44.10992607928173	-45.03741023520589	-43.40735043367679	-43.778267148043525	-42.83402873670811	-43.071454883091945	-42.116799262779395	-45.476941213211326
-46.52981984146159	-48.1182879293048	-46.87640525739786	-47.78313727548559	-46.21686213176818	-46.592924479736645	-45.678294703008206	-45.902022319825846	-44.99158218931831	-48.19637634613653
-49.16813338079424	-50.66955488557086	-49.47575777492945	-50.35670633479005	-48.862933682391656	-49.24203008392946	-48.362130473190184	-48.57091035767972	-47.70976083550661	-50.74136865234285
-51.62665042300247	-53.03274114715558	-51.89356362481575	-52.74391653198449	-51.330869746165114	-51.71092246214581	-50.87061741482971	-51.06329005891668	-50.256189155721806	-53.0978868479561
-53.891817849165406	-55.194873973978254	-54.11647620187148	-54.93165708680631	-53.607040426168965	-53.98601491608429	-53.189895787579694	-53.365394204959266	-52.61676955937677	-55.252994612930515
-55.95118575690979	-57.14410276115376	-56.132253155794345	-56.90793609880361	-55.67891384335075	-56.054827338507394	-55.30719872190119	-55.46455069817848	-54.77848857453911	-57.19487831444515
-57.7934325811002	-58.86972039459828	-57.92978055319994	-58.66190271340683	-57.53508193596494	-57.90601124706578	-57.210879352787835	-57.349209146608615	-56.72944559243408	-58.912868169718564
-59.40838379567645	-60.362178368831614	-59.49909067948986	-60.183863008427835	-59.165279813491715	-59.52936839338492	-58.89043143861767	-59.008960961886864	-58.45887502184589	-60.3974531817183
-60.78702452946198	-61.613096000918766	-60.83137381263697	-61.465289934928954	-60.56039899716931	-60.915863281128274	-60.33650379729223	-60.434553302602325	-59.95716218491148	-61.6402901816422
-61.9215064286314	-62.617019556057976	-61.91898430066571	-62.498827645534206	-61.71249487933281	-62.05762992653453	-61.5409088921807	-61.61789719547198	-61.21585328656163	-62.64137027377365
