Hillclimbing step = 1	Hillclimbing step = 0.5	Steepest Ascent HillClimbing step = 1	Steepest Ascent HillClimbing step = 0.5	Random Restart HillClimbing step = 1	Random Restart HillClimbing step = 0.5	SimulatedAnnealing alpha = 0.993 using t1	SimulatedAnnealing alpha = 0.993 using t2	SimulatedAnnealing alpha = 0.987 using t1	SimulatedAnnealing alpha = 0.987 using t2
-66.82317557492762	-50.631533010801185	-66.82025137450556	-61.312897804328806	-37.5935854590836	-61.549436720249176	-44.34155912782985	-40.81925857761548	-42.16559289793885	-40.750274958455364
-66.83794474037776	-52.01047072981569	-66.82025137450556	-61.84903644418459	-40.67222257083703	-62.06971530642293	-44.40606388497583	-41.30808561504972	-42.35957003200104	-40.750274958455364
-66.83794474037776	-53.198276208737866	-66.82025137450556	-62.34260578462973	-43.618610499538676	-62.555380081990094	-44.65414564473342	-42.178466578970124	-43.203353633698356	-40.992118478482126
-66.83794474037776	-54.47589252454105	-66.82025137450556	-62.816104300186204	-46.41612190496274	-63.02108104621483	-44.65414564473342	-42.9454173475448	-44.01608404576059	-40.992118478482126
-66.83794474037776	-55.57643305850595	-66.82025137450556	-63.26922654455005	-49.04911145806086	-63.46532593806584	-44.82416866160975	-43.30786519009072	-44.33231726927177	-41.08554005661611
-66.83794474037776	-56.619621744802146	-66.82025137450556	-63.700477423579954	-51.5029624059636	-63.8866093888581	-45.08931196205012	-43.332041628214	-44.33231726927177	-41.24770945572859
-66.83794474037776	-57.632033619452066	-66.82025137450556	-64.10834932973076	-53.764125736382006	-64.28341528507408	-45.08931196205012	-43.396289544677856	-44.33231726927177	-41.24770945572859
-66.83794474037776	-58.59450116221128	-66.82025137450556	-64.4913245345145	-55.820152263088474	-64.65421924266084	-45.35752807381351	-43.396289544677856	-44.33231726927177	-41.24770945572859
-66.83794474037776	-59.60326355690454	-66.82025137450556	-64.84787769278935	-57.6597179596042	-64.9974911940526	-45.931830114833744	-43.396289544677856	-44.33231726927177	-41.24770945572859
-66.83794474037776	-60.54933597812635	-66.82025137450556	-65.17647846010304	-59.27264287161971	-65.31169808907275	-46.14553331824564	-43.396289544677856	-44.33231726927177	-41.24770945572859
-66.83794474037776	-61.349973546172365	-66.82025137450556	-65.47559422421917	-60.64990394025197	-65.5974885130951	-46.14553331824564	-43.396289544677856	-44.33231726927177	-41.24770945572859
-66.83794474037776	-62.17407420538673	-66.82025137450556	-65.74546327126788	-61.79799390833564	-65.85568086543597	-46.34904268543016	-43.396289544677856	-44.54313115481382	-41.24770945572859
-66.83794474037776	-62.79951729933496	-66.82025137450556	-65.98489967667118	-62.78990185028645	-66.08415457971607	-46.54087692797875	-43.396289544677856	-44.54313115481382	-41.31339161911733
-66.83794474037776	-63.44633398453076	-66.82025137450556	-66.19494633687314	-63.673266694439675	-66.28216883281276	-46.70645218549681	-43.44948648655686	-44.54313115481382	-41.53381765558051
-66.83794474037776	-64.02745723353597	-66.82025137450556	-66.37642028071993	-64.46117446999077	-66.44671656157672	-46.91104651810005	-43.493917525859324	-44.54313115481382	-41.963416886776784
-66.83794474037776	-64.61183807467305	-66.82025137450556	-66.52915023517339	-65.14144669726844	-66.58651299197092	-47.116865760243606	-43.493917525859324	-44.54313115481382	-41.963416886776784
-66.83794474037776	-65.12693382618207	-66.82025137450556	-66.6494275300059	-65.71053715035312	-66.69639912964386	-47.25176550128273	-44.01267974107744	-44.54313115481382	-42.34784826917742
-66.83794474037776	-65.43802134360318	-66.82025137450556	-66.73906935598423	-66.15427175354004	-66.77296866116701	-47.25176550128273	-44.41812582050981	-44.57949024170113	-42.68995893005633
-66.83794474037776	-65.8022716876324	-66.82025137450556	-66.80122221027536	-66.47696154850637	-66.81788006423713	-47.95293314365559	-44.52153365343863	-44.879086543957136	-42.83196786426114
-66.83794474037776	-66.04625814426849	-66.82025137450556	-66.83259177725793	-66.69768570979856	-66.8380955278661	-48.37311654195541	-44.9419742308412	-45.05829961160863	-43.14109382609491
