test_0	test_1	test_2	test_3	test_4	test_5	test_6	test_7	test_8	test_9
-28.659244002929185	-28.722442600681553	-28.99325822335625	-29.684850111309434	-28.657685050286624	-30.833381418645942	-28.096808855694107	-29.193750748612317	-30.08953772993971	-29.264481595192038
-30.345897444999046	-30.40226233537335	-30.677967015641503	-31.368533616316647	-30.34897445765732	-32.49096153181026	-29.784510057588264	-30.880965614132126	-31.760603639991412	-30.9409835989978
-32.01438274018182	-32.06384741413854	-32.34401302371913	-33.03250998652731	-32.02207143518999	-34.127237379632156	-31.454885328186457	-32.54919821979708	-33.411423082845715	-32.59845279813268
-33.6622486318769	-33.70475501249593	-33.98895232449541	-34.67434705313965	-33.67451949189223	-35.73982354304182	-33.10547348946193	-34.19600488897975	-35.039584280542506	-34.23445851436926
-35.28709019052841	-35.322588535650766	-35.61038786977842	-36.291660777550405	-35.30390863168906	-37.32638393721586	-34.73385869865836	-35.81898928920022	-36.642723870177925	-35.8466171698324
-36.88655128110046	-36.915000080205715	-37.20597192690192	-37.88211763587095	-36.90787782072378	-38.884634104099064	-36.33767296074246	-37.41580485623817	-38.2185292566352	-37.43259470553388
-38.45832689531235	-38.479692760927925	-38.77340838446125	-39.44343686916792	-38.48411731924343	-40.41234337256863	-37.91459850510366	-38.98415708342806	-39.764740831848805	-38.990108865543384
-40.0001653507172	-40.01442290464772	-40.31045492526249	-40.973392601573885	-40.030370880161854	-41.90733688841054	-39.462370028549536	-40.521805678258765	-41.27915406274698	-40.51693134889988
-41.50987035878125	-41.51700211343874	-41.814925068658226	-42.469815828482176	-41.54443781646743	-43.36749751634089	-40.97877680672337	-42.02656658846777	-42.759621450086584	-42.01088983143764
-42.985302964186985	-42.985299199295355	-43.28469008450844	-43.93059627710237	-43.02417493970708	-44.790767616365436	-42.46166467613811	-43.49631389988598	-44.20405436045347	-43.46986985976704
-44.424383357643755	-44.41724199258389	-44.71768078106385	-45.35368414170755	-44.46749837183965	-46.17515069682096	-43.90893788908425	-44.92898160834469	-45.610424733758116	-44.8918166197069
-45.82509256454331	-45.81081902659771	-46.11188916912075	-46.73709169595443	-45.87238523280324	-47.51871294648981	-45.318560843724846	-46.32256526800915	-46.976766668603595	-46.274736581517836
-47.18547401184477	-47.164081100594615	-47.465370004843976	-48.078894784700864	-47.236875206189815	-48.81958464821938	-46.68855969174091	-47.67512351854735	-48.30117788794645	-47.61669902433165
-48.50363497561688	-48.47514272373656	-48.776242213694445	-49.377234197783686	-48.5590719854617	-50.07596147651388	-48.01702382593519	-48.984779493583744	-49.58182108750924	-48.91583744221266
-49.77774791170112	-49.74218344238976	-50.04269019793502	-50.63031692825309	-49.83714460318102	-51.28610568159691	-49.30210725024023	-50.24972211292175	-50.81692516943522	-50.17035083432155
-51.00605167199205	-50.96344905327449	-51.26296503021759	-51.83641731758831	-51.06932864575514	-52.44834716246887	-50.542029834611554	-51.46820726104898	-52.00478636370468	-51.378504881683654
-52.186852608858395	-52.13725270498163	-52.435385535782196	-52.993878090443076	-52.25392735622795	-53.56108443150597	-51.735078457315225	-52.638558854465195	-53.14376923985493	-52.5386330130885
-53.31852557025015	-53.26197589039572	-53.558339265819534	-54.10111128148943	-53.38931262766884	-54.62278547316387	-52.87960803714305	-53.75916980039275	-54.23230761156592	-53.64913736266943
-54.39951478805748	-54.33606933258332	-54.630283364566765	-55.15659905694358	-54.4739258897307	-55.63198849936414	-53.974042458110056	-54.828502849447666	-55.26890533668786	-54.7084896217293
-55.42833466229929	-55.35805376671963	-55.649745332719554	-56.15889443336996	-55.50627889096073	-56.58730260415016	-55.016875389203484	-55.84509134486111	-56.252137015299745	-55.71523178739139
-56.40357044373281	-56.32652062063764	-56.61532368975425	-57.106621896367216	-56.48495437946067	-57.48740832020726	-56.00667100176614	-56.80753987085165	-57.18064858839423	-56.66797681066462
-57.32387881748062	-57.24013259659161	-57.52568853775943	-57.99847792174524	-57.40860668449805	-58.33105807984364	-56.94206458710452	-57.71452480275362	-58.05315783978991	-57.56540914651876
-58.18798839027692	-58.097624156830356	-58.379582029380934	-58.83323140180391	-58.27596220167537	-59.1170765830298	-57.8217630769181	-58.56479476151033	-58.86845480387278	-58.40628520856734
-58.99470008393531	-58.89780191557737	-59.17581874248311	-59.60972397932255	-59.08581978426398	-59.8443610750909	-58.64454546914802	-59.357170975139944	-59.625402081767255	-59.18943373095709
-59.742887437637954	-59.63954494001213	-59.91328596412734	-60.32687029186563	-59.83705104330714	-60.51188153664129	-59.40926316184213	-60.090547549779	-60.32293506853259	-59.913756040058885
-60.43149682164169	-60.321804962842776	-60.590943886463116	-60.9836581290026	-60.528600559092204	-61.11868078834216	-60.11484019763005	-60.76389165290224	-60.96006209397353	-60.57822623854986
-61.05954756498862	-60.943606509052664	-61.207825717118936	-61.57914850503109	-61.15948600658359	-61.66387451305291	-60.760273421395105	-61.37624361130911	-61.535864479644296	-61.1818913044681
-61.62613199979927	-61.50404693939342	-61.763037706669664	-62.11247564978079	-61.72879819739833	-62.162023334703456	-61.34463255372091	-61.92671692645625	-62.049496514613494	-61.72387110781054
-62.13233167617773	-62.00992075330747	-62.26313426262655	-62.598627465339376	-62.23570104089374	-62.64212029358846	-61.867060182679374	-62.42180591000973	-62.530897749232174	-62.22009641199847
-62.61898483682973	-62.49771590684572	-62.743585671329804	-63.06424803828654	-62.711677809016116	-63.10269484533851	-62.35399813439113	-62.89639566698462	-62.993778298133044	-62.69806613390408
-63.08459947799701	-62.965959948119334	-63.202899905210025	-63.50783745201545	-63.16822529709604	-63.54226033377942	-62.82314068676368	-63.34898493487097	-63.436664353984355	-63.15630725860724
-63.5276699026071	-63.41316440230813	-63.63957136388012	-63.92788358148423	-63.60385879283743	-63.959316209060546	-63.2730231196349	-63.778060246172444	-63.85806663053677	-63.59333096474567
-63.94667905462683	-63.83782699323127	-64.05208321491426	-64.32286449961305	-64.01707951637331	-64.35235035551626	-63.70216413870837	-64.18209833395855	-64.25648261389054	-64.00763485792513
-64.34010096460177	-64.23843397469894	-64.43890984588823	-64.69125099570334	-64.40637694032408	-64.71984153062823	-64.10906807215086	-64.55956864943148	-64.63039892391538	-64.39770531405955
-64.70640330765629	-64.61346257300875	-64.7985194289504	-65.03150920709412	-64.77023122086081	-65.06026191637024	-64.49222717663713	-64.90893599272215	-64.97829378716604	-64.76201993399694
-65.04405007513415	-64.96138354186577	-65.12937659909875	-65.34210336517185	-65.10711574106242	-65.37207978412481	-64.85012405422708	-65.22866325803183	-65.29863962254947	-65.09905011070013
-65.35150436095951	-65.28066383091071	-65.4299452472377	-65.6214986567439	-65.41549976776302	-65.65376227425979	-65.18123418137556	-65.51984891449821	-65.58990574090382	-65.40726371015815
-65.63329770734205	-65.56976936894087	-65.70115676873348	-65.87683794825455	-65.69385122298598	-65.90377829134499	-65.48402855128464	-65.78921791808797	-65.85056115954708	-65.68512786710136
-65.89029349216563	-65.82716796279894	-65.9512952731039	-66.10564766794309	-65.94063957095287	-66.12060151587112	-65.7569764307086	-66.02710124202454	-66.0790775327424	-65.93111189648462
-66.11525577031524	-66.05511211317544	-66.16930852523505	-66.30143065928833	-66.15433882153968	-66.31617777145684	-65.99854823221585	-66.23197403542935	-66.27393219890635	-66.14369032158393
-66.30666217226491	-66.2619449355183	-66.35367524708417	-66.46267077780408	-66.34085575697246	-66.48224890236767	-66.207218502796	-66.40231890933181	-66.44303101030556	-66.33791746896694
-66.46593306433726	-66.43525543717229	-66.50288293844226	-66.59768561520656	-66.50388496166323	-66.6133327887917	-66.38146902957631	-66.5538235858997	-66.58718359310345	-66.49969876005797
-66.60672740068664	-66.57353206616719	-66.6364285164223	-66.70823572576182	-66.63203314317767	-66.70793024124535	-66.53666468631529	-66.67336986775429	-66.69589323326906	-66.62628210542839
-66.71218726538027	-66.68241043600601	-66.73480824461507	-66.78248177653636	-66.72380085927618	-66.78776909205668	-66.66011824303672	-66.75662110639563	-66.76766633398853	-66.71906608244207
-66.7808187515803	-66.77006370141687	-66.79627475162363	-66.81894057694342	-66.79447855265504	-66.8316202747086	-66.7473825683345	-66.80836715625547	-66.82230251249842	-66.79510469545005
-66.82554284716316	-66.82093606482381	-66.83100675402696	-66.8417638320725	-66.83559477851615	-66.83726575909898	-66.8026556675069	-66.8411345510733	-66.84342425040332	-66.83420564794345
-66.8436266200072	-66.83355107893746	-66.84198770434378	-66.8417638320725	-66.83861290377092	-66.83726575909898	-66.83943229027462	-66.8411345510733	-66.84342425040332	-66.83489526338364
-66.8436266200072	-66.83355107893746	-66.84198770434378	-28.641777508161994	-66.83861290377092	-30.73967008774399	-66.83943229027462	-27.47029372393051	-31.63381372586975	-66.83489526338364
-29.848728190299145	-31.43276796357484	-30.26867837715056	-30.32481301267462	-29.70887165762701	-32.40462788978261	-29.997515997267595	-29.161633607602447	-33.28907693084075	-30.36962801078701
-31.53178186378362	-33.09592266110198	-31.946183504124306	-31.9897231393127	-31.37752319847567	-34.04839163932486	-31.67272137327167	-30.836574221956912	-34.921850791604164	-32.0436162809421
