Hillclimbing step = 1	Hillclimbing step = 0.5	Steepest Ascent HillClimbing step = 1	Steepest Ascent HillClimbing step = 0.5	Random Restart HillClimbing step = 1	Random Restart HillClimbing step = 0.5	SimulatedAnnealing alpha = 0.993 using t1	SimulatedAnnealing alpha = 0.993 using t2	SimulatedAnnealing alpha = 0.987 using t1	SimulatedAnnealing alpha = 0.987 using t2
-16.58164671636503	-10.336769556487868	-21.520260179334546	-10.565943322000582	-19.33147503958226	-12.336673052303778	-45.69626901274331	-42.30683166120987	-43.98278084973764	-39.70993827799633
-27.617698297028845	-17.087328158549067	-34.544494884306175	-17.818207007772607	-31.543393320200785	-19.548568030223038	-65.62020514742326	-57.31552399725753	-55.1978308621143	-69.94259118630225
-36.09343244789365	-23.974717725260838	-46.595766241176364	-24.36030163801676	-43.416084228957196	-25.897217583086984	-83.2745230952407	-68.68073352757641	-60.8764537025099	-82.03000583425926
-47.71456530209038	-28.259624847540415	-58.68579543893431	-29.560235834647234	-54.33627823684061	-31.301008106486798	-85.15705568017682	-78.99879323476955	-66.82303638408408	-83.54223109643638
-58.31307472799042	-31.67539748498973	-70.26296684851883	-36.06654451262146	-65.78240219679515	-37.32393261440882	-92.28583058792782	-86.909336005357	-73.21915536205505	-93.51570419438137
-68.86581014117228	-37.30869330445169	-81.36140247605937	-42.7828746436867	-77.97695896438924	-44.0845303357536	-95.61326224707139	-86.909336005357	-80.61000602589789	-95.1663371613325
-79.03402069279967	-43.95538625204246	-91.69548200451241	-47.51805942906795	-89.6587256318339	-50.08629096312936	-95.61326224707139	-89.05408277243811	-82.72054583284344	-100.31293786520482
-88.64886942035398	-49.22664651541374	-103.63671205756793	-53.2516118251407	-100.65126938659601	-55.12347478647498	-97.07764644806103	-92.24974761999285	-85.93639640667182	-100.31293786520482
-99.71178933290761	-52.70097130394159	-115.75324471383958	-59.13258873874548	-111.76182617924977	-60.810600928919676	-97.07764644806103	-93.11551411627788	-90.89277317695887	-100.31293786520482
-110.70883874924195	-57.16625844225879	-124.53019223730965	-65.13110775642085	-121.45691913882078	-67.39880525912164	-99.14086294546205	-95.15711508611648	-95.34085249499674	-102.23802964322985
-116.63501966137969	-63.593152732362704	-128.4679146507769	-71.0811496812904	-128.28326432065376	-73.45704107372133	-99.14086294546205	-95.91774311280838	-95.34085249499674	-102.23802964322985
-119.62828398351404	-70.35643962779577	-132.73238759106616	-77.67057731469042	-90.15994775361767	-78.23137236153298	-99.14086294546205	-95.91774311280838	-95.34085249499674	-102.23802964322985
-119.51660547070985	-74.80300897875937	-132.73238759106616	-84.01948949143676	-73.74952516738361	-82.73872889217142	-99.14086294546205	-95.91774311280838	-96.50071166138125	-107.15445612162348
-119.51660547070985	-78.69095211726795	-132.73238759106616	-88.79526736982875	-30.680786517214152	-89.23722643171196	-99.14086294546205	-95.91774311280838	-96.50071166138125	-107.15445612162348
-119.51660547070985	-84.60112822248614	-132.73238759106616	-93.5838178714736	-43.926515011048956	-96.35161279296771	-99.14086294546205	-98.414444245591	-97.23763653733836	-107.15445612162348
-119.51660547070985	-91.47889439411594	-132.73238759106616	-98.94637522030806	-55.1858827016876	-102.28831691446013	-99.14086294546205	-101.28289494336103	-97.23763653733836	-107.15445612162348
-119.51660547070985	-96.89261314170088	-132.73238759106616	-105.32042775213058	-67.71507225359107	-105.92904770857731	-102.15524365326073	-101.28289494336103	-100.27382647458731	-107.15445612162348
-119.51660547070985	-99.92376045919454	-132.73238759106616	-112.05412256996712	-79.48157633581881	-109.73692077217922	-102.15524365326073	-102.23678832126475	-101.61376966815685	-107.15445612162348
-119.51660547070985	-103.33604378226578	-132.73238759106616	-118.14817717472526	-89.02302066611017	-115.0997814148742	-102.15524365326073	-102.23678832126475	-101.61376966815685	-107.15445612162348
-119.51660547070985	-109.29668206897554	-132.73238759106616	-123.75534905655329	-101.77064857259937	-121.03304635543566	-106.32032660762168	-102.23678832126475	-101.61376966815685	-107.15445612162348
-119.51660547070985	-116.15131772302406	-132.73238759106616	-128.01016528679116	-112.48706813664617	-126.35645429447659	-106.32032660762168	-102.23678832126475	-101.61376966815685	-107.15445612162348
-119.51660547070985	-121.524361877237	-132.73238759106616	-132.10588981114697	-122.70770888798863	-119.54424893521495	-106.32032660762168	-105.42768515749677	-101.61376966815685	-107.15445612162348
-119.51660547070985	-123.8167291929884	-132.73238759106616	-137.40138171910536	-117.35616609565122	-111.22774248138515	-106.32032660762168	-110.26646807974923	-104.29012317480822	-107.15445612162348
-119.51660547070985	-123.74104066297751	-132.73238759106616	-142.1385739547049	-101.02546585899623	-113.52010111748405	-106.4346602868919	-110.38049396233684	-104.29012317480822	-107.15445612162348
-119.51660547070985	-123.74104066297751	-132.73238759106616	-150.64704842785034	-73.34504156200717	-91.70499701523593	-106.4346602868919	-110.38049396233684	-107.41947892467866	-107.15445612162348
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-44.39473885909632	-81.30003361118648	-106.4346602868919	-111.61977360041233	-107.41947892467866	-107.15445612162348
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-41.64389893292686	-34.43205910035474	-106.4346602868919	-112.77465126389123	-107.46786049180871	-107.15445612162348
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-53.57880377460454	-28.493960201401364	-106.4346602868919	-112.77465126389123	-107.46786049180871	-107.15445612162348
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-65.8859023971665	-34.90398644256156	-106.4346602868919	-112.77465126389123	-107.46786049180871	-107.15445612162348
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-76.53061300337298	-40.703518719382416	-107.94418347617231	-116.55102362704022	-107.46786049180871	-107.15445612162348
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-88.35727574911542	-46.249293689211086	-107.94418347617231	-116.55102362704022	-107.46786049180871	-111.92459768977469
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-101.67495481678657	-52.4382355387315	-109.09024457308337	-116.55102362704022	-107.46786049180871	-112.1560258662521
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-112.7410645481539	-58.29152701803122	-109.09024457308337	-116.55102362704022	-107.46786049180871	-114.08868255012567
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-123.12905419162969	-63.875412929289816	-109.58599826584766	-116.55102362704022	-107.46786049180871	-114.08868255012567
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-110.66375417890649	-69.81887511791363	-109.58599826584766	-116.55102362704022	-107.46786049180871	-114.08868255012567
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-119.1541549406963	-75.8357917468442	-109.58599826584766	-116.55102362704022	-107.46786049180871	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-112.28489542457223	-82.15456256259905	-109.58599826584766	-116.55102362704022	-107.46786049180871	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-49.758336445560026	-88.57261717130683	-109.58599826584766	-116.55102362704022	-108.38672695241814	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-48.67063354347171	-93.9965118209655	-109.58599826584766	-121.81457445905896	-108.38672695241814	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-46.110036651293996	-98.57784778665244	-109.58599826584766	-121.81457445905896	-108.38672695241814	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-57.56771741472814	-104.00254609622982	-109.58599826584766	-121.81457445905896	-108.38672695241814	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-69.94691950157036	-110.7190535966565	-109.58599826584766	-125.57965382388463	-108.38672695241814	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-81.0375532448831	-117.24724578227024	-109.58599826584766	-125.57965382388463	-108.38672695241814	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-91.11483781288432	-122.87159870317157	-112.05589164935381	-125.57965382388463	-108.38672695241814	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-106.38006895370833	-127.40423098722434	-112.05589164935381	-125.57965382388463	-108.38672695241814	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-107.23796161239	-130.84820228595737	-112.05589164935381	-125.57965382388463	-108.38672695241814	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-116.37643307754547	-119.02695892507509	-112.05589164935381	-125.85949733831873	-108.38672695241814	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-114.76341280484462	-84.31059131360756	-112.05589164935381	-125.85949733831873	-108.38672695241814	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-111.26392487135426	-77.0063222893639	-115.15240799751038	-125.85949733831873	-109.87721387757752	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-104.60516902309337	-57.281849091702405	-115.15240799751038	-125.85949733831873	-109.87721387757752	-115.22252109562855
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-74.58394544668758	-50.065645576521376	-115.15240799751038	-125.85949733831873	-109.87721387757752	-118.35117187214783
-119.51660547070985	-123.74104066297751	-132.73238759106616	-159.89018492153593	-71.15631048065612	-41.49053500616721	-115.15240799751038	-125.85949733831873	-111.4105383060499	-119.90308887561154
